Gene
ABCB6
ABHD10
ACAD8
ACSF2
ACTMAP
ADM2
AFMID
AGFG2
ALDH1A3
AMIGO2
AMN1
AMT
AMZ2P1
ANKDD1A
ANKRD18CP
AOC2
APTR
ARLNC1
ATP1A1
ATR
BDH2
BID
BIRC7
BMP1
BST2
BTN3A1
C18orf61
C6orf132
CA12
CALCOCO1
CARHSP1
CASTOR3P
CCDC102A
CCSER1
CD200
CD59
CDPF1
CENPBD2P
CENPN
CES3
CIART
CLDN11
CLSTN3
CNBD1
COBL
COPZ1
CORO1B
COTL1
CPSF7
CREBZF
CRMP1
CSTPP1
CYP4B1
CYP4F2
DAB1
DAPK1
DHCR7
DLG2
DLX3
DNMT3A
DYNLL1
DYRK4
EFNA1
EFNB3
ELOVL2
ERMAP
ESPNP
FAM30C
FANCD2OS
FBXO24
FDX1
FGF7P3
FKBP1A-SDCBP2
FNTB
FOLH1
FOXRED2
FRAT2
FSTL4
FTL
GIT1
GJB2
GKAP1
GLI1
GLIPR1L2
GNG8
GOLGA6L9
GPER1
GPR63
GTF2H2C
GTF2IP4
GUCY1A1
GUSBP15
GUSBP17
H3P4
H3P6
HACD1
HAP1
HDHD5
HES7
HLA-DQB1-AS1
HM13
HMGN4
HMGXB3
HOXA10-HOXA9
HOXA9
HPGD
HTRA1
IGIP
INHBC
IRX4-AS1
ISM2
KLHL13
LDAF1
LEO1
LIM2
LMLN-AS1
LOC100130744
LOC100506023
LOC101928217
LOC102723340
LOC105369228
LOC105371701
LOC105371942
LOC105376754
LOC105376825
LOC105377345
LOC105377473
LOC105378452
LOC105378973
LOC107984035
LOC107984316
LOC107984340
LOC107985216
LOC107985400
LOC107986373
LOC112268056
LOC644285
LOC653513
LRRN1
LTF
MACIR
MAP3K8
MCPH1-AS1
MGAT1
MIR3064
MIR600HG
MMS19
MOB3C
MRNIP-DT
MROH7
MSMB
MTHFD1L
MYADM
MYB
NETO1-DT
NOXO1
NSDHL
OCLNP1
ODAD3
OGA
OGDH
OGDHL
OPRK1
OR1F1
ORM2
OTUD3
OTULIN
PCED1B
PCNP
PDE6D
PGM2L1
PHYH
PIGU
PLEKHB1
PLXNA1
PNRC1
PPP1R18
PTGER4
PTPRJ
PTPRS
RAB17
RABL3
RAD51D
RANGAP1
RAP1GDS1
RBL2
RFC4
RFX3-DT
RIMS1
RNASEH2A
RNF121
SALL4
SAMD14
SANBR
SEC24D
SEMA6A-AS1
SEPSECS
SHH
SIDT1
SIX2
SLC11A1
SLC12A4
SLC16A6
SLC17A4
SLC24A3
SLC25A30-AS1
SLC35A5
SLC38A3
SNORA25
SPATA6L
SPTBN1
SRD5A1
SREBF2-AS1
ST3GAL5
STARD9
STC2
STMN3
STRIP2
STUM
SYNPO
TAPT1
TARS1
TAX1BP1
TGFB1
THYN1
TIMM10B
TLL1
TMEM102
TMEM11
TMEM164
TMEM176A
TMEM38A
TMOD1
TNFAIP8L3
TNFSF10
TPM3P9
TRAPPC6B
TRIP13
TTBK1
TTC28-AS1
TTC6
TTLL12
TTLL5
TTLL8
TULP4
UGT2B15
VCL
VPS8
VWA5B2
VWDE
WARS1
WASIR2
WDR55
WDR62
WDR81
XPA
ZMYND12
ZNF224
ZNF404
ZNF433
ABCC4
ACAD11
ADAMTSL4-AS2
AKAP5
ALCAM
ANKRD20A19P
BRINP1
CARD10
CDC37
CDH3
CHKA
CLUH
CLUL1
COA4
CSNK1E
CSRP1
DBI
FAM131C
FZD5
GMPPA
GRHL2-DT
H2AC16
H2BC11
HLA-DQB1
JDP2-AS1
KRBA1
KRT8
LOC100130283
LOC102724117
LOC105369617
LOC105375784
LOC105376139
LOC112268155
LPIN1
MANEA
MAPRE2
MFSD5
MIR10393
MIR9898
MTOR
MXI1
NT5C2
OLFM2
PAK1
PCDHB4
PCTP
PITRM1
PLEKHB2
PROCR
REEP1
RMDN1
RTL5
SC5D
SEC61G
SH3RF1
SH3RF3
SIGMAR1
SMCR2
ST7-OT3
SUSD2
SWT1
TGM3
TRIM49D2
TTC28
TUT1
UNC13A
ZNF836
ZNG1C
ACTR3
ADAM9
ADCY7
ADGRB2
AMY2B
ANKH
AP2A1
APBB1
ARF4
ATP6V0A2
ATP8B1-AS1
B4GALT2
B4GAT1-DT
BACE2
BCL2L12
BEX1
BEX2
BHLHA15
BMS1
BOC
BRSK2
C17orf113
C1orf226
C4orf36
C6orf163
CABLES1
CACNG4
CADPS2
CAMKMT
CAST
CCDC59
CCDC88B
CCN3
CCNB3
CD38
CDH24
CDRT4
CEBPA-DT
CEP104
CERCAM
CFAP298
CFAP69
CHRAC1
CLCC1
CLDN8
CMAS
CMYA5
CNPY4
COPG1
CRACDL
CSAD
CSK
CTBP1
CXCL12
CYB5B
DDX23
