Gene
ESPNP
FTL
GNG8
HM13
KLHL13
KRBA1
LEO1
LTF
MIR600HG
MTOR
NSDHL
OPRK1
PIGU
RIMS1
SIDT1
SLC16A6
STUM
TLL1
TMEM164
TUT1
ZMYND12
